Samples,Val,Method
2300,6.30129705704604,SMAC
2400,6.30318469388536,SMAC
2500,7.03810463666338,SMAC
2600,8.43342781080026,SMAC
2700,10.4900530909814,SMAC
2800,12.6197568830851,SMAC
2900,14.7495505626573,SMAC
3000,17.5406463482738,SMAC
3100,20.0375404493608,SMAC
3200,22.0938960671364,SMAC
3300,24.1505213473175,SMAC
3400,26.4271911504831,SMAC
3500,27.6758179759637,SMAC
3600,27.6758179759637,SMAC
0,3.29905560783053,SMAC
100,3.22903326983835,SMAC
200,3.67442567645102,SMAC
300,3.67613353835326,SMAC
400,4.04664968367261,SMAC
500,4.71145740098991,SMAC
600,5.96161231343568,SMAC
700,8.53203436378796,SMAC
800,10.0746830988609,SMAC
900,10.5177384312915,SMAC
1000,10.8131985403805,SMAC
1100,11.1100968489661,SMAC
1200,11.1865011972246,SMAC
1300,11.4081636946427,SMAC
1400,11.483039955936,SMAC
1500,11.4858264674607,SMAC
1600,11.4877141043001,SMAC
1700,11.5641184525585,SMAC
1800,11.6399834760058,SMAC
1900,11.715848499453,SMAC
2000,11.6434890872788,SMAC
2100,11.865331359634,SMAC
2200,12.3084765795332,SMAC
2300,12.3109035411838,SMAC
2400,12.3128810654916,SMAC
2500,12.4608358387075,SMAC
2600,12.6834870982795,SMAC
2700,12.9050597082291,SMAC
2800,13.5676202388329,SMAC
2900,14.6709889151539,SMAC
3000,15.1855946725419,SMAC
3100,16.1409186881785,SMAC
3200,16.8761981808306,SMAC
3300,17.7583537970762,SMAC
3400,18.2733191043383,SMAC
3500,18.6410487381329,SMAC
3600,19.1561039328636,SMAC
0,3.2971679709912,Unicorn
100,5.06417582753846,Unicorn
200,8.59198930530373,Unicorn
300,11.8263201982879,Unicorn
400,13.2239804466068,Unicorn
500,14.7685168185191,Unicorn
600,16.9005576848048,Unicorn
700,19.4002382974166,Unicorn
800,21.1643697549706,Unicorn
900,21.8268403981059,Unicorn
1000,22.6398725510446,Unicorn
1100,23.0859840574056,Unicorn
1200,23.5317360138924,Unicorn
1300,23.7560052478982,Unicorn
1400,24.4929926024526,Unicorn
1500,25.9655291120648,Unicorn
1600,26.0409446981694,Unicorn
1700,26.3394609811887,Unicorn
1800,26.562831340509,Unicorn
1900,27.0057068980026,Unicorn
2000,27.3004479073432,Unicorn
2100,27.2277289452949,Unicorn
2200,27.5233688293209,Unicorn
2300,27.7453908766132,Unicorn
2400,27.9666938241572,Unicorn
2500,27.9675926988426,Unicorn
2600,28.261974158309,Unicorn
2700,28.7039508411172,Unicorn
2800,29.1452983116456,Unicorn
2900,29.5127582830346,Unicorn
3000,30.1742401640159,Unicorn
3100,30.5417001354049,Unicorn
3200,30.6154977470758,Unicorn
3300,30.7625536456062,Unicorn
3400,31.1300136169952,Unicorn
3500,31.3504176898538,Unicorn
3600,31.3504176898538,Unicorn
0,3.29743763339683,Unicorn
100,8.66273074304424,Unicorn
200,10.7220526472816,Unicorn
300,15.2791675272914,Unicorn
400,17.9979937882022,Unicorn
500,23.066388589264,Unicorn
600,27.327414147905,Unicorn
700,27.54988563254,Unicorn
800,27.7734357667975,Unicorn
900,28.1435024747741,Unicorn
1000,28.2188281734101,Unicorn
1100,28.2215247974663,Unicorn
1200,28.2230528844315,Unicorn
1300,28.2988280204102,Unicorn
1400,28.3729851819552,Unicorn
1500,28.4493895302137,Unicorn
1600,28.5990521653317,Unicorn
1700,28.7496136751352,Unicorn
1800,28.9710963976163,Unicorn
