Samples,Val,Method
1100,262.642089093702,SMAC
1200,266.021505376344,SMAC
1300,272.442396313364,SMAC
1400,281.228878648233,SMAC
1500,291.705069124424,SMAC
1600,302.857142857143,SMAC
1700,311.305683563748,SMAC
1800,322.119815668203,SMAC
1900,328.202764976958,SMAC
2000,334.285714285714,SMAC
2100,343.748079877112,SMAC
2200,350.844854070661,SMAC
2300,352.196620583717,SMAC
2400,356.589861751152,SMAC
2500,358.279569892473,SMAC
2600,360.983102918587,SMAC
2700,363.010752688172,SMAC
2800,365.038402457757,SMAC
2900,368.417818740399,SMAC
3000,371.459293394777,SMAC
3100,373.486943164362,SMAC
3200,374.838709677419,SMAC
3300,376.866359447005,SMAC
3400,378.556067588326,SMAC
3500,380.583717357911,SMAC
3600,380.583717357911,SMAC
0,249.193548387097,Unicorn
100,267.035330261137,Unicorn
200,278.187403993856,Unicorn
300,291.705069124424,Unicorn
400,310.967741935484,Unicorn
500,325.837173579109,Unicorn
600,337.665130568356,Unicorn
700,351.182795698925,Unicorn
800,365.376344086021,Unicorn
900,368.417818740399,Unicorn
1000,370.10752688172,Unicorn
1100,370.10752688172,Unicorn
1200,368.755760368664,Unicorn
1300,368.755760368664,Unicorn
1400,369.769585253456,Unicorn
1500,371.459293394777,Unicorn
1600,371.459293394777,Unicorn
1700,372.811059907834,Unicorn
1800,373.486943164362,Unicorn
1900,373.486943164362,Unicorn
2000,374.838709677419,Unicorn
2100,376.52841781874,Unicorn
2200,378.89400921659,Unicorn
2300,381.935483870968,Unicorn
2400,383.963133640553,Unicorn
2500,387.342549923195,Unicorn
2600,392.749615975422,Unicorn
2700,395.115207373272,Unicorn
2800,398.15668202765,Unicorn
2900,398.494623655914,Unicorn
3000,399.170506912442,Unicorn
3100,400.522273425499,Unicorn
3200,402.21198156682,Unicorn
3300,404.915514592934,Unicorn
3400,406.267281105991,Unicorn
3500,409.308755760369,Unicorn
3600,409.308755760369,Unicorn
0,248.448540706605,Unicorn
100,256.221198156682,Unicorn
200,265.345622119816,Unicorn
300,271.428571428571,Unicorn
400,278.187403993856,Unicorn
500,282.58064516129,Unicorn
600,292.043010752688,Unicorn
700,302.181259600614,Unicorn
800,314.68509984639,Unicorn
900,331.920122887865,Unicorn
1000,336.3133640553,Unicorn
1100,339.692780337942,Unicorn
1200,344.761904761905,Unicorn
1300,348.141321044547,Unicorn
1400,349.831029185868,Unicorn
1500,353.548387096774,Unicorn
1600,356.589861751152,Unicorn
1700,359.293394777266,Unicorn
1800,362.672811059908,Unicorn
1900,369.431643625192,Unicorn
2000,374.838709677419,Unicorn
2100,377.542242703533,Unicorn
2200,380.921658986175,Unicorn
2300,384.639016897081,Unicorn
2400,385.990783410138,Unicorn
2500,390.384024577573,Unicorn
2600,397.480798771121,Unicorn
2700,401.536098310292,Unicorn
2800,404.915514592934,Unicorn
2900,407.619047619048,Unicorn
3000,409.646697388633,Unicorn
3100,413.701996927803,Unicorn
3200,416.067588325653,Unicorn
3300,419.784946236559,Unicorn
3400,423.84024577573,Unicorn
3500,424.854070660522,Unicorn
3600,424.854070660522,Unicorn
